Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belarus,204.65,198.56,203.921,199.634,193.62,198.214,198.797,202.68,208.441,216.685,226.439,226.107,230.385,230.297,232.667,248.7,254.896,260.781,265.549,276.726,277.656,279.223,279.032,282.453,298.328,275.577,241.926,246.357,250.118,273.41,281.951,294.245,310.855,343.266,348.399,363.728,358.553,360.641,370.602,375.925,354.094,369.56,383.421,372.783,362.612,369.192,355.849,332.936,334.107,330.003,334.194,336.426,287.27,273.671,261.217,245.384,234.903,,
Belize,262.636,255.815,248.994,241.699,234.404,227.11,219.815,212.52,206.914,201.308,195.702,190.096,184.49,183.211,181.933,180.654,179.376,178.097,175.989,173.881,171.773,169.664,167.556,166.555,165.554,164.554,163.553,162.552,170.43,178.309,186.187,194.065,201.944,208.259,214.574,220.889,227.205,233.52,235.972,238.424,240.876,243.328,245.78,241.688,237.596,233.504,229.412,225.32,225.59,225.86,226.13,226.4,226.67,224.562,222.454,220.346,218.238,216.13,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,421.504,419.215,416.927,414.905,412.884,410.862,408.84,406.819,404.786,402.754,400.722,398.69,396.657,393.281,389.905,386.528,383.152,379.776,374.808,369.84,364.872,359.903,354.935,350.079,345.223,340.368,335.512,330.656,325.961,321.267,316.573,311.878,307.184,302.697,298.209,293.722,289.235,284.747,280.535,276.323,272.111,267.9,263.688,259.836,255.983,252.131,248.279,244.427,240.307,236.186,232.066,227.946,223.826,221.459,219.093,216.726,214.36,211.993,
Brazil,320.476,314.4,308.325,303.449,298.574,293.698,288.822,283.946,281.994,280.041,278.088,276.135,274.183,276.247,278.311,280.376,282.44,284.505,286.123,287.741,289.359,290.977,292.595,293.102,293.608,294.114,294.62,295.126,293.403,291.68,289.956,288.233,286.51,281.793,277.076,272.36,267.643,262.926,257.794,252.662,247.531,242.399,237.267,233.267,229.267,225.268,221.268,217.268,214.047,210.825,207.604,204.383,201.161,198.648,196.135,193.622,191.109,188.596,
Barbados,294.136,289.485,284.835,280.508,276.181,271.854,267.527,263.2,259.183,255.165,251.148,247.131,243.114,239.391,235.668,231.945,228.222,224.499,221.054,217.609,214.164,210.719,207.274,204.091,200.907,197.724,194.54,191.357,188.418,185.479,182.54,179.601,176.662,173.951,171.24,168.529,165.818,163.107,160.608,158.109,155.61,153.111,150.612,148.31,146.007,143.705,141.402,139.1,136.983,134.866,132.75,130.633,128.516,127.017,125.518,124.019,122.52,121.021,
Brunei Darussalam,262.789,258.09,253.39,248.923,244.455,239.988,235.52,231.053,226.939,222.825,218.711,214.598,210.484,206.705,202.926,199.147,195.368,191.589,188.125,184.661,181.197,177.734,174.27,171.1,167.931,164.761,161.592,158.422,155.527,152.632,149.736,146.841,143.945,141.304,138.663,136.021,133.38,130.738,128.332,125.925,123.518,121.111,118.704,116.513,114.322,112.131,109.94,107.749,107.749,107.749,107.749,107.749,107.749,106.209,104.669,103.129,101.589,100.049,
Bhutan,577.12,573.703,570.285,564.143,558.001,551.859,545.717,539.576,533.273,526.97,520.668,514.365,508.062,502.074,496.086,490.098,484.11,478.122,470.028,461.933,453.839,445.745,437.651,429.732,421.814,413.896,405.978,398.059,389.502,380.945,372.388,363.832,355.275,346.786,338.298,329.81,321.322,312.834,304.866,296.899,288.931,280.963,272.996,265.481,257.967,250.452,242.938,235.423,231.46,227.497,223.534,219.571,215.608,212.623,209.638,206.653,203.668,200.683,
Botswana,398.717,394.412,390.107,386.096,382.085,378.074,374.063,370.052,364.196,358.341,352.486,346.63,340.775,333.724,326.672,319.621,312.57,305.519,300.136,294.753,289.37,283.987,278.604,279.099,279.594,280.089,280.584,281.079,299.803,318.526,337.25,355.974,374.698,416.661,458.625,500.589,542.552,584.516,594.964,605.413,615.861,626.31,636.758,606.848,576.937,547.027,517.116,487.206,465.814,444.422,423.03,401.638,380.246,354.351,328.456,302.561,276.666,250.771,
Central African Republic,523.5,518.782,514.064,508.265,502.466,496.667,490.868,485.069,477.001,468.933,460.865,452.796,444.728,437.005,429.282,421.558,413.835,406.112,403.009,399.906,396.803,393.699,390.596,392.504,394.413,396.321,398.229,400.137,409.147,418.158,427.168,436.178,445.189,459.316,473.443,487.57,501.697,515.824,523.973,532.121,540.27,548.418,556.566,548.023,539.48,530.937,522.394,513.851,503.974,494.097,484.22,474.343,464.465,451.884,439.302,426.72,414.138,401.556,
Canada,192.876,190.728,191.161,191.753,191.376,192.02,193.593,193.039,189.613,190.227,187.159,186.309,187.942,189.606,188.174,184.899,181.014,179.717,176.041,171.029,163.92,159.201,153.004,148.844,142.353,142.122,139.846,135.672,131.239,130.036,127.319,124.704,123.387,123.68,119.16,118.543,113.675,109.35,105.573,104.145,100.924,99.424,96.843,96.936,94.7,94.329,91.806,91.762,89.926,87.745,85.388,81.379,,,,,,,
Central Europe and the Baltics,200.0894704,197.1314406,199.425828,197.1157087,192.1948998,193.2145701,193.1765533,198.6485749,200.7988621,205.8982304,205.2016189,209.5926034,204.7219334,206.9002864,207.2553131,214.09036,218.5757794,224.018608,229.448678,231.2759671,240.2997985,235.1946887,234.6319461,241.0760061,245.3444607,246.5310681,243.0694243,242.8429487,242.2025783,250.7188589,257.0084111,261.5766093,263.0062298,260.4195341,260.8714097,258.9556369,248.4514975,246.7596842,243.4551561,238.6589352,229.0768909,223.7187354,219.1356069,216.2010173,214.1475328,213.9352567,212.0128826,210.0159956,203.5163179,195.8478005,189.331362,182.9419555,177.7683646,171.4933042,165.5985074,166.8928564,163.7071031,,
Switzerland,178.515,180.63,183.998,185.058,176.195,167.99,171.012,166.421,167.875,168.338,166.223,161.965,159.211,152.114,150.495,153.666,149.886,149.934,149.645,146.367,145.031,143.991,144.644,140.457,135.569,132.011,129.969,130.388,127.167,127.624,126.484,129.704,126.173,119.107,118.902,117.692,108.872,107.232,103.954,97.252,99.439,94.505,91.8,90.441,87.49,84.241,79.749,78.545,75.467,75.903,71.146,68.348,66.999,66.885,63.344,62.284,58.204,,
Channel Islands,183.374,182.651,181.927,180.527,179.126,177.726,176.325,174.925,173.796,172.668,171.539,170.41,169.282,167.168,165.055,162.941,160.828,158.715,155.542,152.37,149.198,146.026,142.853,140.281,137.709,135.137,132.565,129.993,126.96,123.927,120.895,117.862,114.829,112.308,109.787,107.266,104.745,102.223,99.147,96.07,92.994,89.917,86.841,84.064,81.288,78.512,75.736,72.96,71.146,69.331,67.517,65.702,63.888,62.635,61.383,60.131,58.878,57.626,
Chile,332.087,330.47,328.853,326.571,324.289,322.007,319.725,317.443,312.358,307.273,302.188,297.104,292.019,285.896,279.773,273.65,267.528,261.405,255.317,249.23,243.142,237.055,230.967,223.624,216.281,208.937,201.594,194.251,188.275,182.298,176.322,170.346,164.37,161.433,158.496,155.559,152.623,149.686,147.202,144.719,142.235,139.752,137.269,135.134,133,130.866,128.732,126.598,124.727,122.857,120.986,119.116,117.245,115.015,112.784,110.554,108.323,106.092,
China,499.659,497.798,495.937,459.408,422.879,386.349,349.82,313.291,297.064,280.838,264.612,248.386,232.16,221.847,211.534,201.221,190.908,180.596,177.449,174.302,171.155,168.008,164.861,161.681,158.501,155.321,152.141,148.961,148.383,147.805,147.228,146.65,146.073,144.644,143.216,141.788,140.36,138.932,133.831,128.73,123.629,118.528,113.427,111.762,110.097,108.432,106.767,105.102,103.557,102.013,100.468,98.924,97.379,96.063,94.746,93.429,92.112,90.796,
Cote d'Ivoire,480.763,476.879,472.996,470.643,468.29,465.937,463.584,461.231,453.135,445.039,436.942,428.846,420.75,414.033,407.316,400.6,393.883,387.166,382.785,378.404,374.023,369.642,365.261,362.99,360.719,358.448,356.178,353.907,360.203,366.498,372.794,379.09,385.386,397.332,409.279,421.225,433.172,445.118,453.627,462.136,470.644,479.153,487.662,479.219,470.776,462.333,453.89,445.448,442.43,439.412,436.395,433.377,430.359,425.524,420.689,415.854,411.019,406.184,
Cameroon,462.007,456.931,451.855,446.984,442.112,437.241,432.37,427.499,422.539,417.58,412.621,407.661,402.702,397.668,392.634,387.6,382.566,377.532,373.858,370.185,366.511,362.838,359.165,359.351,359.538,359.725,359.912,360.099,366.272,372.445,378.617,384.79,390.963,398.725,406.488,414.25,422.012,429.775,428.301,426.827,425.353,423.879,422.405,414.569,406.732,398.896,391.059,383.222,382.114,381.006,379.897,378.789,377.681,370.33,362.98,355.63,348.28,340.93,
"Congo, Dem. Rep.",470.331,467.852,465.373,462.292,459.212,456.131,453.05,449.97,445.963,441.956,437.949,433.942,429.935,428.017,426.099,424.181,422.263,420.345,417.23,414.115,411,407.885,404.77,402.674,400.578,398.482,396.386,394.29,391.719,389.147,386.576,384.004,381.433,382.767,384.1,385.434,386.767,388.101,382.336,376.571,370.806,365.04,359.275,352.011,344.746,337.481,330.217,322.952,317.672,312.393,307.113,301.834,296.554,292.488,288.421,284.355,280.288,276.222,
